ActivityNumber,District,Neighborhood,OccurenceStartDate,OccurenceEndDate,ReportDate,OccurenceLocation,OccurenceCity,OccurenceZipCode,X_Coord,Y_Coord,PrimaryViolation,Injury
2009-0008962,North Central,Arden Terrace,12/1/2008 00:01,12/1/2008 00:01,12/1/2008 00:01,1800 Block of Morse Ave,Sacramento,95825,6735336.5,1980432.75,PC 290.013 Fail to Notification of move,
2008-0063306,Rancho Cordova,Micron Park,11/30/2008 16:00,11/30/2008 16:05,12/1/2008 00:25,9600 Block of Old Placerville Rd,Sacramento,95827,6751185.1603,1965382.5758,PC 243(D) Battery With Serious Bodily Injury (Punishment),
2008-0063303,North Central,Arden Gardens,12/1/2008 00:35,12/1/2008 01:39,12/1/2008 00:35,2400 Block of Arden Way,Sacramento,95825,6731987.3776,1979683.5605,PC 459 Burglary,
2008-0063345,North,CHPD,12/1/2008 02:49,12/1/2008 02:49,12/1/2008 02:49,Auburn Blvd & Manzanita Ave,Sacramento,95841,6753528.20557,2007713.73775,VC 14601 Driving On Suspended/Revoked License,
2008-0063358,North,Lincoln,12/1/2008 04:13,12/1/2008 04:13,12/1/2008 04:13,8300 Block of Fair Oaks Blvd,Carmichael,95608,6759108.575,1994569.3123,VC 14601 Driving On Suspended/Revoked License,
2008-0063362,Rancho Cordova,Rosemont Downs,12/1/2008 04:50,12/1/2008 04:50,12/1/2008 04:59,4000 Block of Hollygrove Ct,Sacramento,95826,6743971.8236,1959855.9747,PC 459 Burglary,
2008-0063363,Rancho Cordova,Sunrise Industrial,12/1/2008 05:48,12/1/2008 05:48,12/1/2008 06:00,11400 Block of Sunrise Gold Cir,Rancho Cordova,95742,6773101.96912,1980128.86432,PC 459 Burglary,
2008-0063377,Rancho Cordova,Prospect Park,11/30/2008 18:00,12/1/2008 07:00,12/1/2008 07:22,3000 Block of Sunrise Blvd,Rancho Cordova,95742,6771441.3545,1979264.9334,PC 459 Burglary,
2008-0063376,North Central,Creekside,12/1/2008 07:30,12/1/2008 07:30,12/1/2008 08:00,2800 Block of Elvyra Way,Sacramento,95821,6734241.937,1985396.1848,PC 243(E)(1) Battery:Spouse/Ex Spouse/Date/Etc,
2008-0063375,North,East Fair Oaks,12/1/2008 00:00,1/1/0001 00:00,12/1/2008 08:15,5000 Block of Filbert Ave,Fair Oaks,95628,6785399.5751,2002111.3004,PC 488 Petty Theft,
2008-0063378,Rancho Cordova,Countryside Rancho,12/1/2008 07:30,12/1/2008 07:46,12/1/2008 08:17,3300 Block of Gould Way,Sacramento,95827,6757435.6683,1970643.5215,PC 243(E)(1) Battery:Spouse/Ex Spouse/Date/Etc,
2008-0063381,Rancho Cordova,Sunridge,11/26/2008 17:00,11/30/2008 09:00,12/1/2008 08:54,4300 Block of Sophistry Dr,Rancho Cordova,95742,6781317.19391,1961432.33673,PC 459 Burglary,
2008-0063392,Central,past Florin Partnership,11/29/2008 12:45,11/29/2008 14:00,12/1/2008 09:08,6000 Block of Florin Rd,Sacramento,95823,6723854.06493,1942985.62505,PC 487 Grand Theft,
2008-0063383,North Central,Sierra Woodside,11/30/2008 13:00,11/30/2008 13:40,12/1/2008 09:10,2500 Block of Fair Oaks Blvd,Sacramento,95825,6732095.8418,1971810.2711,PC 488 Petty Theft,
2008-0063379,Northwest,Rio Linda,11/29/2008 03:00,11/29/2008 08:30,12/1/2008 09:12,500 Block of Silver Tree Ct,Rio Linda,95673,6717391.7278,2015802.2607,PC 459 Burglary,
2008-0063385,North Central,Arden Gardens,11/28/2008 15:00,11/29/2008 15:00,12/1/2008 09:15,2000 Block of Wright St,Sacramento,95825,6731240.0761,1982034.2785,PC 459 Burglary,
2008-0063387,Central,Fruitridge/Pocket,11/26/2008 18:00,11/28/2008 10:00,12/1/2008 09:15,4700 Block of Parker Ave,Sacramento,95820,6718698.2049,1957257.01691,PC 487(A) Grand Theft:Money/Labor/Property Over $400,
2008-0063388,North Central,Cottage Park,11/30/2008 15:30,11/30/2008 15:45,12/1/2008 09:15,3400 Block of El Camino Ave,Sacramento,95821,6737612.5138,1983514.7049,PC 488 Petty Theft,
2008-0063380,Northwest,North Highlands,11/30/2008 23:00,12/1/2008 06:00,12/1/2008 09:15,6800 Block of Waxwing Way,Sacramento,95842,6746653.7895,2014035.3503,PC 488 Petty Theft,
2008-0063382,North,Central Orangevale,11/30/2008 19:30,12/1/2008 05:00,12/1/2008 09:19,8900 Block of Elm Ave,Orangevale,95662,6783394.8538,2015033.2401,PC 594(B)(1) Vandalism ($400 Or More),
2008-0063389,Northwest,Foothill Farms NW,11/24/2008 10:00,12/1/2008 08:00,12/1/2008 09:30,7400 Block of Holworthy Way,Sacramento,95842,6743558.9986,2017310.1913,PC 594(A)(2) Vandalism:Damage Property,
2008-0063390,North,Foothill Farms NE,11/26/2008 21:00,11/27/2008 07:00,12/1/2008 09:30,5300 Block of Date Ave,Sacramento,95841,6745589.7323,2004131.7203,PC 594(A) Vandalism,
2008-0063462,North,Mercy San Juan,11/30/2008 11:50,11/30/2008 11:55,12/1/2008 09:30,5300 Block of Winfield Way,Sacramento,95841,6753157.442,2003996.8634,PC 594(A) Vandalism,
2008-0063398,North,North Fair Oaks,12/1/2008 09:37,12/1/2008 09:37,12/1/2008 09:37,5300 Block of Sunrise Blvd,Fair Oaks,95628,6769083.4515,2004008.5953,PC 211 Robbery,
2008-0063393,Central,Florin Town,11/26/2008 12:00,11/29/2008 11:15,12/1/2008 09:45,8600 Block of Maple Grove Ct,Sacramento,95828,6737853.74689,1937211.49933,PC 459 Burglary,
2008-0063402,North,Del Campo,11/26/2008 23:30,11/27/2008 07:00,12/1/2008 09:45,6300 Block of Pennyroyal Way,Carmichael,95608,6756860.6697,2002074.829,PC 487 Grand Theft,
