ActivityNumber,District,Neighborhood,OccurenceStartDate,OccurenceEndDate,ReportDate,OccurenceLocation,OccurenceCity,OccurenceZipCode,X_Coord,Y_Coord,PrimaryViolation,Injury
2008-0040167,Rancho Cordova,South White Rock,8/1/2008 01:50,8/1/2008 01:50,8/1/2008 01:09,10600 Block of White Rock Rd,Rancho Cordova,95670,6764558.3561,1976785.9295,PC 459 Burglary,
2008-0041068,North,Cypress,8/1/2008 02:00,8/1/2008 02:50,8/1/2008 02:55,5300 Block of Engle Rd,Carmichael,95608,6750294.9551,1993459.3699,PC 459 Burglary,
2008-0041069,South,Galt,8/1/2008 01:30,8/1/2008 02:00,8/1/2008 03:15,10000 Block of New Hope Rd,Galt,95632,6756285.15741,1852228.59448,VC 10851(A) Take Vehicle Without Owner's Consent,
2008-0041075,Rancho Cordova,South White Rock,8/1/2008 00:00,8/1/2008 00:00,8/1/2008 04:30,3000 Block of Laurelhurst Dr,Rancho Cordova,95670,6761816.8798,1974726.3357,VC 10851(A) Take Vehicle Without Owner's Consent / 6dvf021,
2008-0041076,Central,Vintage Park Churchill Downs,8/1/2008 04:10,8/1/2008 04:16,8/1/2008 04:31,8800 Block of Vintage Park Dr,Sacramento,95828,0,0,PC 273.5(A) Inflict Corporal Injury On Spouse/Cohabitant,
2008-0041072,North Central,Arden Manor,8/1/2008 02:50,8/1/2008 03:01,8/1/2008 05:25,1500 Block of Dom Way,Sacramento,95864,6736364.9913,1978407.8655,PC 459 Burglary,
2008-0041078,Northwest,Foothill Farms NW,8/1/2008 06:15,8/1/2008 06:15,8/1/2008 07:18,Andrea Blvd & Hillsdale Blvd,Sacramento,95842,6747714.00013,2012535.37488,PC 594(A) Vandalism,
2008-0041079,North,Foothill Farms NE,8/1/2008 04:30,8/1/2008 04:30,8/1/2008 07:30,6400 Block of Verner Ave,Sacramento,95841,6752141.3406,2011201.4484,PC 459 Burglary,
2008-0041081,Rancho Cordova,Cordova Meadows,7/31/2008 22:00,8/1/2008 05:30,8/1/2008 08:00,10000 Block of Sierra Glen Way,Sacramento,95827,6755508.761,1975195.2254,PC 487 Grand Theft,
2008-0040520,North,Pershing,7/28/2008 06:45,7/30/2008 00:00,8/1/2008 09:00,8600 Block of Greenback Ln,Orangevale,95662,6779704.9683,2009511.4356,PC 459 Burglary,
2008-0041085,North,Woodmore Oaks,7/31/2008 19:00,8/1/2008 05:00,8/1/2008 09:05,8400 Block of Harbourwood Dr,Orangevale,95662,6776393.2192,2010708.3293,PC 487 Grand Theft,
2008-0041091,North Central,Fair Lake Village,7/31/2008 20:00,8/1/2008 07:30,8/1/2008 09:05,2400 Block of Larkspur Ln,Sacramento,95825,6731717.9657,1974959.9666,PC 594(B)(2)(A) Vandalism Less Than $400,
2008-0041092,North,East Fair Oaks,7/31/2008 15:00,8/1/2008 07:00,8/1/2008 09:10,4800 Block of Hazel Ave,Fair Oaks,95628,6782597.30298,2000925.57269,PC 459 Burglary,
2008-0041086,North Central,Del Paso Manor,7/31/2008 15:30,8/1/2008 08:00,8/1/2008 09:15,3700 Block of Kings Way,Sacramento,95821,6739246.0288,1986428.1939,PC 488 Petty Theft,
2008-0041089,North Central,Arcade Square,7/31/2008 22:00,8/1/2008 09:00,8/1/2008 09:20,2900 Block of Kerria Way,Sacramento,95821,6734615.768,1990797.8951,PC 459 Burglary,
2008-0041088,North,Lincoln,8/1/2008 00:01,8/1/2008 05:00,8/1/2008 09:34,4600 Block of Asheville Ct,Carmichael,95608,6760287.9048,1998438.1999,PC 488 Petty Theft,
2008-0041093,North,Lincoln,6/27/2008 00:00,8/1/2008 09:47,8/1/2008 09:47,7000 Block of Los Olivos Way,Carmichael,95608,6761346.3608,1998727.3446,PC 488 Petty Theft,
2008-0041096,Central,Larchmont,8/1/2008 02:00,8/1/2008 07:00,8/1/2008 09:50,7300 Block of Palmer House Dr,Sacramento,95828,6729245.48657,1941261.64569,PC 459 Burglary,
2008-0040989,,,4/10/2005 00:00,4/10/2005 00:00,8/1/2008 10:00,22000 Block of Putt Putt Ln,Bella Vista,96008,0,0,PC 288(A) Lewd Or Lascivious Acts W/Child Under 14 Years,
2008-0041097,Northwest,Antelope,7/31/2008 23:50,8/1/2008 08:00,8/1/2008 10:00,4200 Block of Shandwick Dr,Antelope,95843,6742728.4359,2023459.4766,PC 594(A) Vandalism,
2008-0041095,Central,Vintage Park Churchill Downs,7/29/2008 15:00,7/31/2008 18:00,8/1/2008 10:03,7900 Block of Neyland Way,Sacramento,95829,6746120.49591,1933735.54608,PC 488 Petty Theft,
2008-0041100,Central,Florin Town,7/18/2008 11:13,7/30/2008 15:45,8/1/2008 10:04,7400 Block of Citrus Ave,Sacramento,95823,6725480.62268,1940010.2865,PC 459 Burglary (Residential),
2008-0041098,North,Mercy San Juan,7/1/2008 00:01,7/9/2008 23:59,8/1/2008 10:09,6300 Block of Templeton Dr,Carmichael,95608,6757090.3734,2005106.8461,PC 484G Thft:Use Access Card Data,
2008-0041099,North,Foothill Farms NE,7/31/2008 00:00,8/1/2008 10:14,8/1/2008 10:18,5100 Block of Verner Ave,Sacramento,95841,6748495.5013,2007790.0103,PC 594(A)(2) Vandalism:Damage Property,
2008-0041102,Central,Larchmont,8/1/2008 02:30,8/1/2008 03:00,8/1/2008 10:20,Chris Ave & Florin Rd,Sacramento,95828,6729010.49982,1943000.62512,PC 459 Burglary,
2008-0041104,Rancho Cordova,Cordova Lane,7/22/2008 20:00,7/23/2008 08:30,8/1/2008 10:30,2300 Block of Zinfandel Dr,Rancho Cordova,95670,6765766.456,1983505.5227,PC 594(A) Vandalism - OVER $400,
