ActivityNumber,District,Neighborhood,OccurenceStartDate,OccurenceEndDate,ReportDate,OccurenceLocation,OccurenceCity,OccurenceZipCode,X_Coord,Y_Coord,PrimaryViolation,Injury
2008-0011814,Northwest,Antelope,2/29/2008 22:15,2/29/2008 22:15,3/1/2008 01:22,4100 Block of Cree Way,Antelope,95843,0,0,PC 220 Assault To Commit Mayhem or Sex Crime,
2008-0011880,North,Five Points,3/1/2008 11:15,3/1/2008 11:42,3/1/2008 01:42,5100 Block of Fair Oaks Blvd,Carmichael,95608,6748841.4993,1980063.0788,PC 666 Petty Theft W/Prior Jail Term For Specific Offenses,
2008-0011819,North,Old Fair Oaks,3/1/2008 02:07,3/1/2008 03:59,3/1/2008 02:07,Bridge St,Fair Oaks,95628,6771198.72701,1994920.21214,PC 243(C)(2) Battery Against Police Officer,
2008-0011815,Central,Larchmont,3/1/2008 02:20,3/1/2008 02:22,3/1/2008 02:22,Williwaw Ln & Walter Ave,Sacramento,95828,6726942.99979,1938956.375,PC 246 Shoot At Inhabited Dwelling/Vehicle/Etc,
2008-0011818,Northwest,North Highlands,3/1/2008 01:06,3/1/2008 01:36,3/1/2008 02:43,3600 Block of Lowry Dr,North Highlands,95660,6739108.4988,2005699.8134,PC 243(E)(1) Battery:Spouse/Ex Spouse/Date/Etc,
2008-0011820,Central,Florin Town,2/29/2008 10:00,2/29/2008 10:00,3/1/2008 03:39,Florin Rd & Mccomber St,Sacramento,95828,6734548.99992,1943049.3752,PC 245(A)(1) Force/Assault With A Deadly Weapon-Not Firearm:Gbi Likely,
2008-0011822,South,Galt,3/1/2008 03:45,3/1/2008 03:45,3/1/2008 03:45,9800 Block of Harvey Rd,Galt,95632,6754466.117,1854969.46832,PC 647(F) Disorderly Conduct:Public Intoxication,
2008-0011821,North,Mercy San Juan,3/1/2008 03:25,3/1/2008 03:34,3/1/2008 03:54,5600 Block of Manzanita Ave,Carmichael,95608,6753406.7089,2006261.711,PC 245(A)(1) Force/Assault With A Deadly Weapon-Not Firearm:Gbi Likely,
2008-0011805,Central,past Florin Partnership,2/29/2008 23:00,2/29/2008 23:05,3/1/2008 04:50,7100 Block of Stockton Blvd,Sacramento,95823,6724969.60783,1943238.72819,PC 211 Robbery,
2008-0011827,Rancho Cordova,White Rock,3/1/2008 04:45,3/1/2008 05:48,3/1/2008 05:48,Mather Field Rd & Mills Station Rd,Rancho Cordova,95670,6758935.99975,1975136.75007,PC 647(F) Disorderly Conduct:Public Intoxication,
2008-0011862,North,Carmichael Park,3/1/2008 06:30,3/1/2008 06:35,3/1/2008 07:21,4900 Block of Marconi Ave,Carmichael,95608,6747588.0754,1987444.0465,PC 594(A) Vandalism,
2008-0011870,Rancho Cordova,Cordova Gardens,3/1/2008 08:20,3/1/2008 08:56,3/1/2008 08:26,10300 Block of Folsom Blvd,Rancho Cordova,95670,6759561.0662,1976679.0538,PC 647(F) Disorderly Conduct:Public Intoxication,
2008-0010845,North,North Fair Oaks,2/20/2008 22:00,2/20/2008 23:59,3/1/2008 09:00,8100 Block of Niessen Way,Fair Oaks,95628,6773753.4803,2006446.3787,PC 242 Battery,
2008-0011874,North,Central Orangevale,2/29/2008 09:27,3/1/2008 08:30,3/1/2008 09:27,7300 Block of Hickory Ave,Orangevale,95662,6779991.4282,2017686.7473,PC 594(A) Vandalism,
2008-0011871,North,Lake Natoma,2/29/2008 19:00,3/1/2008 09:00,3/1/2008 09:30,9600 Block of Lake Natoma Dr,Orangevale,95662,6791697.8211,2008512.1569,PC 594(A) Vandalism,
2008-0011872,North,Old Fair Oaks,3/1/2008 00:00,3/1/2008 07:00,3/1/2008 09:35,7500 Block of Kreth Rd,Fair Oaks,95628,6764722.8337,1998915.1183,PC 594(A) Vandalism,
2008-0011876,North,American River,3/1/2008 10:46,3/1/2008 10:46,3/1/2008 10:46,4900 Block of Auburn Blvd,Sacramento,95841,6747365.3148,2002814.4077,PC 488 Petty Theft,
2008-0011891,North,Lincoln,3/1/2008 11:30,3/1/2008 11:30,3/1/2008 11:30,8300 Block of Fair Oaks Blvd,Carmichael,95608,6759203.5185,1994494.3038,HS 11377(A) Possession Of Controlled Substance,
2008-0011882,North Central,Parkwoods,2/29/2008 18:00,3/1/2008 11:34,3/1/2008 11:34,4300 Block of Marconi Ave,Sacramento,95821,6743369.7525,1987232.9154,PC 594(A)(1) Vandalism:Deface Property,
2008-0011895,North,Mercy San Juan,2/26/2008 09:30,3/1/2008 13:36,3/1/2008 13:36,5900 Block of Marlin Cir,Carmichael,95608,6755639.9814,2007907.5136,PC 459 Burglary,
