ActivityNumber,District,Neighborhood,OccurenceStartDate,OccurenceEndDate,ReportDate,OccurenceLocation,OccurenceCity,OccurenceZipCode,X_Coord,Y_Coord,PrimaryViolation,Injury
2008-0029900,Central,Fruitrdige Vista,6/1/2008 00:05,6/1/2008 00:05,6/1/2008 00:05,3900 Block of Fruitridge Rd,Sacramento,95820,6715615.34723,1953341.01312,HS 11350(A) Possess Narcotic Controlled Substance,
2008-0029902,Rancho Cordova,Gold River,6/1/2008 00:30,6/1/2008 00:50,6/1/2008 00:41,11400 Block of Forty Niner Cir,Rancho Cordova,95670,6774355.30414,1993326.73962,PC 647(F) Disorderly Conduct:Public Intoxication,
2008-0029903,Northwest,Sacramento Airport,6/1/2008 00:30,6/1/2008 00:30,6/1/2008 00:51,6900 Block of Airport Blvd,Sacramento,95837,6678532.40776,2014617.33688,VC 10851(A) Take Vehicle Without Owner's Consent,
2008-0029926,Rancho Cordova,Mills Ranch,6/1/2008 02:18,6/1/2008 02:18,6/1/2008 02:18,10600 Block of Coloma Rd,Rancho Cordova,95670,0,0,PC 273.5 Inflict Crpl Inj Sp/Cohab,
2008-0029924,Rancho Cordova,Sunrise Industrial,6/1/2008 01:00,6/1/2008 03:00,6/1/2008 02:29,11200 Block of Point East Dr,Rancho Cordova,95742,6771444.15527,1984779.34851,PC 647(F) Disorderly Conduct:Public Intoxication,
2008-0029898,Central,Larchmont,5/31/2008 19:00,5/31/2008 21:00,6/1/2008 02:30,6700 Block of Sunnyslope Dr,Sacramento,95828,6726179.7337,1943769.65912,PC 422 Threaten Crime With Intent To Terrorize,
2008-0029933,East,EGPD,6/1/2008 03:06,6/1/2008 03:16,6/1/2008 03:20,9000 Block of Vicino Dr,Elk Grove,95758,6725155.66479,1918501.24652,PC 459 Burglary,
2008-0029930,North Central,Creekside,6/1/2008 03:15,6/1/2008 03:15,6/1/2008 03:30,3400 Block of Balmoral Dr,Sacramento,95821,6737603.50035,1985131.47679,PC 594(B)(1) Vandalism ($400 Or More),
2008-0029932,Rancho Cordova,Cordova Meadows,6/1/2008 03:29,6/1/2008 03:59,6/1/2008 03:59,Folsom Blvd & W La Loma Dr,Rancho Cordova,95670,6756373.99988,1974215.00006,VC 23152(A) Dui Alcohol/Drugs,
2008-0029934,North,Old Fair Oaks,6/1/2008 04:03,6/1/2008 04:04,6/1/2008 04:03,Temescal St & Main St,Fair Oaks,95628,6770883.4998,1996615.75016,HS 11377(A) Possession Of Controlled Substance,
2008-0029937,North,Carmichael Park,6/1/2008 04:25,6/1/2008 04:45,6/1/2008 04:34,5400 Block of El Camino Ave,Carmichael,95608,6750767.7746,1984831.7343,PC 487 Grand Theft,
2008-0029919,North Central,Howe/Edison,6/1/2008 00:50,6/1/2008 00:55,6/1/2008 04:58,2700 Block of Lerwick Rd,Sacramento,95821,6733541.7378,1991305.9796,PC 594(A) Vandalism,
2008-0029935,Rancho Cordova,Walnut Wood,6/1/2008 04:40,6/1/2008 05:19,6/1/2008 05:19,Vehicle Dr & Zinfandel Dr,Rancho Cordova,95670,6769801.49992,1986037.12512,VC 23152(A) Dui Alcohol/Drugs,
2008-0029938,Rancho Cordova,Micron Park,6/1/2007 05:30,6/1/2008 05:45,6/1/2008 06:30,9600 Block of Micron Ave,Sacramento,95827,6750768.1794,1967559.3468,PC 487 Grand Theft,
2008-0029931,North,East Fair Oaks,6/1/2008 02:48,6/1/2008 02:53,6/1/2008 06:52,Madison Ave & Illinois Ave,Carmichael,95608,6780093.95587,2004604.31208,HS 11377 Unlawful Poss Of Dangerous Drug,
2008-0029952,Rancho Cordova,Prospect Park,6/1/2008 06:45,6/1/2008 07:30,6/1/2008 07:45,Zinfandel Dr & 50,Rancho Cordova,95670,6765322.00014,1977778.74995,PC 273.5(A) Inflict Corporal Injury On Spouse/Cohabitant,
2008-0029943,Northwest,North Highlands,5/28/2008 10:00,5/31/2008 21:00,6/1/2008 08:23,3600 Block of Turner Dr,North Highlands,95660,6738518.9128,2015822.9613,PC 488 Petty Theft,
2008-0029945,North Central,SPD,6/1/2008 09:00,6/1/2008 09:05,6/1/2008 09:00,Alta Arden Expy & Ethan Way,Sacramento,95815,6727440.49995,1979906.62502,PC 148.9 Giving False Info To Officer,
2008-0029947,North Central,Arden Park,6/1/2008 09:30,6/1/2008 09:35,6/1/2008 09:53,500 Block of La Sierra Dr,Sacramento,95864,6738433.7568,1971849.4431,PC 459 Burglary,
2008-0029836,Northwest,Rio Linda,5/31/2008 13:30,5/31/2008 13:35,6/1/2008 09:55,400 Block of L St,Rio Linda,95673,6716878.6316,2013435.8364,PC 245(A)(2) Assault With Firearm On Person,
2008-0029949,Rancho Cordova,South White Rock,6/1/2008 10:00,6/1/2008 10:40,6/1/2008 10:30,3300 Block of Mather Field Rd,Rancho Cordova,95670,6761181.9155,1971698.1792,PC 602(K) Trespass:Injure Property,
2008-0029951,Northwest,Maric College,6/1/2008 10:45,6/1/2008 12:31,6/1/2008 11:13,5100 Block of Shell St,North Highlands,95660,6740132.0077,2002765.8008,PC 647(F) Disorderly Conduct:Public Intoxication,
2008-0029954,Rancho Cordova,Sunridge,6/1/2008 11:10,6/1/2008 11:10,6/1/2008 11:24,12300 Block of Pawcatuck Way,Rancho Cordova,95742,6786206.35382,1963841.15851,PC 459 Burglary (Residential),
2008-0030000,Northwest,North Highlands,6/1/2008 10:30,6/1/2008 10:40,6/1/2008 11:45,Karl Dr,North Highlands,95660,0,0,PC 273.5 Inflict Crpl Inj Sp/Cohab,
