ActivityNumber,District,Neighborhood,OccurenceStartDate,OccurenceEndDate,ReportDate,OccurenceLocation,OccurenceCity,OccurenceZipCode,X_Coord,Y_Coord,PrimaryViolation,Injury
2008-0059976,Rancho Cordova,La Riviera East,10/31/2008 11:58,11/1/2008 00:01,11/1/2008 00:05,2200 Block of Rogue River Dr,Sacramento,95826,6744274,1969553,PC 415(1) Fight/Challenge Fight Public Place,
2008-0058493,Central,Fruitrdige Vista,11/1/2008 00:01,11/1/2008 00:40,11/1/2008 00:10,6200 Block of Martin Luther King Jr Blvd,Sacramento,95824,6715307.36658,1948795.46649,PC 647(F) Disorderly Conduct:Public Intoxication,
2008-0058505,Northwest,Foothill Farms NW,10/31/2008 23:45,10/31/2008 23:45,11/1/2008 00:14,Robert Frost Way & Oakhollow Dr,Sacramento,95842,6745702.9998,2010232.12495,PC 245(A)(1) Force/Assault With A Deadly Weapon-Not Firearm:Gbi Likely,
2008-0058503,Northwest,North Highlands,10/31/2008 23:50,10/31/2008 23:52,11/1/2008 00:26,4500 Block of Merganser Ct,Sacramento,95842,6744894.1837,2014999.7393,PC 594(A) Vandalism,
2008-0058497,South,South Franklin,10/31/2008 22:56,10/31/2008 22:59,11/1/2008 00:30,12500 Block of Bruceville Rd,Elk Grove,95757,6726770.04602,1873406.44269,PC 240 Assault On Person,
2008-0058513,North Central,Creekside,11/1/2008 00:30,11/1/2008 00:30,11/1/2008 00:30,Watt Ave & El Camino Ave,Sacramento,95821,6737942.99979729,1984734.0001304,PC 647(F) Disorderly Conduct:Public Intoxication,
2008-0058496,Central,Fruitridge/Pocket,11/1/2008 00:30,11/1/2008 01:12,11/1/2008 00:44,4000 Block of 44th St,Sacramento,95820,6717335.05029,1958124.40613,PC 647(F) Disorderly Conduct:Public Intoxication,
2008-0058499,Northwest,Foothill Farms NW,11/1/2008 00:41,11/1/2008 01:55,11/1/2008 01:01,5400 Block of Jackson St,North Highlands,95660,6740852.9249,2004713.3263,PC 647(F) Disorderly Conduct:Public Intoxication,
2008-0058508,North Central,Del Paso Manor,11/1/2008 01:00,11/1/2008 01:03,11/1/2008 01:05,3700 Block of Lynwood Way,Sacramento,95864,6739281,1983173.75,PC 211 Robbery,
2008-0058509,North Central,Fair Lake Village,11/1/2008 01:45,11/1/2008 01:45,11/1/2008 01:45,Villanova Cir & Bell St,,,6730110.99979,1974671.24991,VC 2800.2(A) Evade Peace Officer With Wanton Disregard For Safety,
