ActivityNumber,District,Neighborhood,OccurenceStartDate,OccurenceEndDate,ReportDate,OccurenceLocation,OccurenceCity,OccurenceZipCode,X_Coord,Y_Coord,PrimaryViolation,Injury
2009-0013625,Rancho Cordova,White Rock,4/1/2008 00:01,4/1/2008 00:01,4/1/2008 00:01,10800 Block of Olson Dr,Rancho Cordova,95670,6765679.77330006,1978788.50009289,PC 261.5 Unlawful Sexual Intercourse: Vict Under 18,
2008-0017968,North,American River,4/1/2008 00:45,4/1/2008 01:00,4/1/2008 01:00,4900 Block of Little Oak Ln,Sacramento,95841,0,0,PC 273.5 Inflict Crpl Inj Sp/Cohab,
2008-0017979,Northwest,North Highlands,4/1/2008 01:30,4/1/2008 01:40,4/1/2008 01:45,Walerga Rd & Bainbridge Dr,Sacramento,95842,6743266.49983,2017481.75005,PC 211 Robbery,
2008-0017986,Rancho Cordova,Rosemont Park,4/1/2008 02:18,4/1/2008 02:18,4/1/2008 02:46,S Port Dr & Brunner Dr,Sacramento,95826,6744507.00006,1963189.37496,VC 23152(A) Dui Alcohol/Drugs,
2008-0018021,Northwest,North Highlands,4/1/2008 04:30,4/1/2008 05:00,4/1/2008 05:20,Watt Ave & Elkhorn Blvd,North Highlands,95660,6737819.99999,2013822.6248,PC 647(F) Disorderly Conduct:Public Intoxication,
2008-0017987,Northwest,Maric College,4/1/2008 02:26,4/1/2008 02:40,4/1/2008 06:00,Watt Ave & Roseville Rd,North Highlands,95660,6737885.99986,2001888.00002,PC 487 Grand Theft,
2008-0017975,Central,Fruitrdige Vista,4/1/2008 01:15,4/1/2008 01:20,4/1/2008 06:45,6300 Block of Martin Luther King Jr Blvd,Sacramento,95824,6714746.89972,1948556.24707,PC 243(D) Battery With Serious Bodily Injury (Punishment),
2008-0018055,North Central,Cottage Park,4/1/2008 07:10,4/1/2008 07:13,4/1/2008 07:13,3100 Block of Pennland Dr,Sacramento,95825,6736198.5105,1983850.4419,PC 459 Burglary,
2008-0018223,North Central,Del Paso Manor,4/1/2008 07:19,4/1/2008 07:19,4/1/2008 07:19,2300 Block of Watt Ave,Sacramento,95825,6738652.5827,1983535.2538,PC 488 Petty Theft,
2008-0018053,North Central,Arden Manor,4/1/2008 07:27,1/1/0001 00:00,4/1/2008 07:27,2600 Block of Matheson Way,Sacramento,95864,6733095.59198444,1976113.9421192,PC 488 Petty Theft,
2008-0018065,North,North Fair Oaks,3/31/2008 22:00,4/1/2008 07:00,4/1/2008 07:30,7800 Block of Wildridge Dr,Fair Oaks,95628,6768849.3919,2003604.4523,PC 459 Burglary,
2008-0018063,North Central,Cottage Park,3/30/2008 03:00,4/1/2008 07:34,4/1/2008 07:34,2400 Block of Drayton Dr,Sacramento,95825,6736259.7206,1983999.6843,PC 487 Grand Theft,
2008-0018070,North,Foothill Farms NE,3/31/2008 11:00,3/31/2008 11:05,4/1/2008 07:55,5500 Block of College Oak Dr,Sacramento,95841,6747183.5965,2005171.5784,PC 488 Petty Theft,
2008-0018074,Rancho Cordova,Sunrise Industrial,4/1/2008 06:00,4/1/2008 07:00,4/1/2008 08:01,11400 Block of Folsom Blvd,Rancho Cordova,95742,6775107.65942,1986544.99048,PC 459 Burglary,
2008-0018080,North Central,Del Paso Manor,3/31/2008 14:30,4/1/2008 08:00,4/1/2008 08:14,3700 Block of Marconi Ave,Sacramento,95821,6739450.3998,1987315.982,PC 459 Burglary,
2008-0018072,Northwest,Antelope,3/31/2008 08:00,3/31/2008 21:30,4/1/2008 08:25,8300 Block of Rambleton Way,Antelope,95843,6745058.0966,2024225.3082,PC 459 Burglary (residential),
2008-0018084,Central,Florin Town,3/31/2008 17:00,4/1/2008 07:00,4/1/2008 08:50,8900 Block of Elder Creek Rd,Sacramento,95829,6741971.1889,1948066.52148,PC 459 Burglary,
2008-0018083,North Central,Cottage Park,3/31/2008 17:30,4/1/2008 08:15,4/1/2008 08:54,2600 Block of Cottage Way,Sacramento,95825,6733052.4739,1982295.2855,PC 459 Burglary,
2008-0018076,North Central,Arden Manor,3/29/2008 09:00,3/31/2008 16:30,4/1/2008 08:57,3300 Block of Wellington Dr,Sacramento,95864,6737421.353,1974499.1825,PC 487(A) Grand Theft:Money/Labor/Property Over $400,
2008-0018071,Northwest,North Highlands,4/1/2008 01:00,4/1/2008 01:00,4/1/2008 09:00,Bainbridge Dr & Walerga Rd,North Highlands,95660,6743266.49983,2017481.75005,PC 211 Robbery,
2008-0018098,North Central,Sierra Oaks,3/28/2008 22:00,3/29/2008 06:30,4/1/2008 09:07,100 Block of Tryon Ct,Sacramento,95864,6735649.506,1968950.7357,PC 459 Burglary,
2008-0018078,Rancho Cordova,Butterfield,3/31/2008 21:00,4/1/2008 09:00,4/1/2008 09:10,9600 Block of Elmira Cir,Sacramento,95827,6750537.8861,1970908.4805,PC 459 Burglary,
2008-0018079,North Central,Howe Park,3/30/2008 02:30,3/30/2008 08:00,4/1/2008 09:10,2100 Block of Juanita Ln,Sacramento,95825,6730536.9595,1982361.7098,PC 459 Burglary,
2008-0018082,Northwest,Foothill Farms NW,3/31/2008 21:00,4/1/2008 06:00,4/1/2008 09:10,7200 Block of Pepperwood Knoll Ln,Sacramento,95842,6745341.99508,2016589.09536,PC 459 Burglary,
2008-0018090,North,Cypress,3/31/2008 16:45,3/31/2008 17:00,4/1/2008 09:10,4000 Block of Walnut Ave,Carmichael,95608,6748663.9996,1995018.1783,PC 487 Grand Theft,
2008-0018088,Northeast,CHPD,3/31/2008 12:00,3/31/2008 12:00,4/1/2008 09:15,7900 Block of Auburn Blvd,Citrus Heights,95610,6763899.103,2021777.8986,PC 488 Petty Theft,
2008-0018081,Central,Florin Town,3/26/2008 19:00,3/27/2008 07:00,4/1/2008 09:16,7200 Block of Jerry Way,Sacramento,95828,6732676.2674,1942497.5907,PC 487 Grand Theft,
2008-0018089,North Central,Arden Terrace,3/31/2008 12:00,3/31/2008 14:00,4/1/2008 09:20,1900 Block of Morse Ave,Sacramento,95825,6735704.6797,1981005.4933,PC 487(A) Grand Theft:Money/Labor/Property Over $400,
